index,sub_index,item_type,brand,product,film_format,film_speed_iso,process,expiry_date,date_added,md5,uuid,filename,author
28,0,film_box_outside,Kodak,Tri-X,120,400,BW,202512,1736024650,45ee2f6b24a06945012c0f9f7ae4b7bd,f7f99b9d46a4491c9cbfda4f030f88c5,00028_000.jpg,dekuNukem
29,0,film_box_outside,Polaroid,PolaChrome,35mm,40,Instant,199209,1736046040,09cfddc8dd7ae52d17cf02ac07a839f6,b0041b1e44a64f6591d49e918e033b60,00029_000.jpg,dekuNukem
30,0,film_box_outside,Rollei,Infrared,120,200,BW,202708,1736046075,eb1ea2f258d651e5036a96b6be331bfc,b7bb7d65979543d0a8e5c9179d734f54,00030_000.jpg,dekuNukem
31,0,film_box_outside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046197,5f1b719a68bd00716ca5d8577ab310c1,4f1aabf29f724c9ea3b2bee414b08deb,00031_000.jpg,dekuNukem
31,1,film_box_outside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046204,8c0a0413f57a2a74c7808fbac96c0d1a,1dda008c9a844e1b9b64527511fdc282,00031_001.jpg,dekuNukem
31,2,film_box_inside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046208,49ee7709b9fcefb59aa9378b2dca83cf,727d6925fdca4834bd96d71c32f40077,00031_002.jpg,dekuNukem
31,3,film_box_inside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046214,85776f3faff6c374899401be29675d57,aa6fba27f7c9484291dbf8279a8e3d18,00031_003.jpg,dekuNukem
32,0,film_box_outside,Fujifilm,Fujichrome Professional 100D,120,100,E-6,199212,1736046273,4d5869a6882515cea095f2f81c86a0c1,5dcdd19ddf654415b7eac69183e7439d,00032_000.jpg,dekuNukem
32,1,film_box_leaflet,Fujifilm,Fujichrome Professional 100D,120,100,E-6,199212,1736046275,c435ca4ab2177e0fbd011f76e16cea5e,2e00754170744438a318b7f71da1c977,00032_001.jpg,dekuNukem
32,2,film_box_leaflet,Fujifilm,Fujichrome Professional 100D,120,100,E-6,199212,1736046279,db36b26bb1adcc4649494bb76fefeaf0,2d0ef64e672342509bad0f88d7908974,00032_002.jpg,dekuNukem
33,0,film_box_outside,Jessops,Diamond Everyday,APS,200,C-41,200610,1736046322,0fa60a27575a8fc386f25d66d01adeff,b53e5c167866448d812a4dc8e85967d3,00033_000.jpg,dekuNukem
34,0,film_box_outside,Fujifilm,Fujicolor NPL 160,120,160,C-41,199807,1736046435,b79bdcb86abe287c451d4523b743cc8d,ce40cc432d9e445b987fdd72fd88d10b,00034_000.jpg,dekuNukem
34,1,film_box_leaflet,Fujifilm,Fujicolor NPL 160,120,160,C-41,199807,1736046438,33899ae1eb7d7a57aa1eac5e7b25fe33,2e3f349e094b49d8ba6e026a98eb1455,00034_001.jpg,dekuNukem
34,2,film_box_leaflet,Fujifilm,Fujicolor NPL 160,120,160,C-41,199807,1736046441,f531f27285c6d013266623177bbba0a3,10efb3e22574460db3db552e55684945,00034_002.jpg,dekuNukem
35,0,film_box_outside,Kodak,Kodachrome,35mm,25,K-14,197801,1736046471,d8b943aed7ddca186795b8128126a6b6,483191da2aa742bba3343cbe9f296477,00035_000.jpg,dekuNukem
35,1,film_box_leaflet,Kodak,Kodachrome,35mm,25,K-14,197801,1736046473,d31692e7b4e877dd309021584e532928,71a9b098894d4f00a8006ba4b37783b8,00035_001.jpg,dekuNukem
35,2,film_box_leaflet,Kodak,Kodachrome,35mm,25,K-14,197801,1736046478,2bed0490dcf11762fa2b29424f7f2800,547384566f7d4aff89c18059a11e7f0b,00035_002.jpg,dekuNukem
35,3,film_box_processing_envelope,Kodak,Kodachrome,35mm,25,K-14,197801,1736046482,5e7caeb28399f21ad0958628711aac85,a64a927ad3a348ae9eeb445a9725acfa,00035_003.jpg,dekuNukem
35,4,film_box_processing_envelope,Kodak,Kodachrome,35mm,25,K-14,197801,1736046510,b87213bf8f94aae1b10c681f96ad282a,754d321490a3453981be592ac6221b8d,00035_004.jpg,dekuNukem
36,0,film_box_outside,Konica,Infrared 750nm,120,32,BW,200003,1736085980,b49f863c50fd74afc126c9a53da7e389,63b2857f2df549878446cc1963362d93,00036_000.jpg,dekuNukem
37,0,film_box_outside,Kodak,Technical Pan 6415,120,25,BW,198805,1736086038,7a34a2f430def88aafff771039cddbbe,3a03860d64d2400caee97955197703be,00037_000.jpg,dekuNukem
37,1,film_box_leaflet,Kodak,Technical Pan 6415,120,25,BW,198805,1736086040,1f4e7b48d6bfd1c31dc4461bcb52a8db,579e1eee184e49669d586cf512ec1bc8,00037_001.jpg,dekuNukem
